SampleId;Counted Colonies;Counted Volume;Dilution Factor;Result col/ml;Remarks
408_A;298;0.01056;1000000;28219696969.696968;
408_B;289;0.01056;1000000;27367424242.424244;
408_C;167;0.00548;1000000;30474452554.744526;
366_A;177;0.01828;1000000;9682713347.9212246;
366_B;209;0.01828;1000000;11433260393.873085;
366_C;205;0.01828;1000000;11214442013.129103;
575_A;191;0.00216;10000;884259259.25925922;
575_B;194;0.00216;10000;898148148.14814818;
575_C;178;0.00216;10000;824074074.074074;
545_A;188;0.00548;1000000;34306569343.065697;
545_C;178;0.00548;1000000;32481751824.81752;
545_C;178;0.00548;1000000;32481751824.81752;
shu407_A;254;0.01828;10000;138949671.77242887;
shu407_B;242;0.01828;10000;132385120.3501094;
shu407_C;256;0.03;10000;85333333.333333343;
